task_id,variant,seed,pass,error_type,fail_reason,gen_latency_ms,exec_latency_ms,tokens_in,tokens_out,timestamp
HumanEval/0,baseline,2,1,Other,,1101,1102,35.0,69.0,2025-12-01 09:30:01
HumanEval/1,baseline,2,0,Other,1 failed in 0.04s,1102,1102,56.0,120.0,2025-12-01 09:30:09
HumanEval/10,baseline,2,0,Other,1 error in 0.16s,1202,1202,60.0,116.0,2025-12-01 09:30:17
HumanEval/100,baseline,2,0,Timeout,TimeoutError: Execution exceeded limit,12014,12014,64.0,89.0,2025-12-01 09:30:34
HumanEval/101,baseline,2,0,Other,1 failed in 0.04s,1102,1102,45.0,63.0,2025-12-01 09:30:39
HumanEval/102,baseline,2,1,Other,,1102,1102,37.0,80.0,2025-12-01 09:30:47
HumanEval/103,baseline,2,0,Other,1 failed in 0.04s,1101,1102,53.0,92.0,2025-12-01 09:30:55
HumanEval/104,baseline,2,0,Other,1 failed in 0.04s,1102,1102,36.0,64.0,2025-12-01 09:31:01
HumanEval/105,baseline,2,0,Other,1 error in 0.16s,1201,1202,102.0,97.0,2025-12-01 09:31:09
HumanEval/106,baseline,2,1,Other,,1101,1102,63.0,81.0,2025-12-01 09:31:17
HumanEval/107,baseline,2,0,Other,1 error in 0.17s,1202,1202,81.0,99.0,2025-12-01 09:31:25
HumanEval/108,baseline,2,0,Other,1 failed in 0.04s,1102,1102,50.0,66.0,2025-12-01 09:31:30
HumanEval/109,baseline,2,0,Other,1 error in 0.16s,1202,1202,142.0,124.0,2025-12-01 09:31:38
HumanEval/11,baseline,2,1,Other,,1102,1102,33.0,74.0,2025-12-01 09:31:46
HumanEval/110,baseline,2,0,Other,1 error in 0.16s,1202,1202,87.0,116.0,2025-12-01 09:31:54
HumanEval/111,baseline,2,0,Other,1 failed in 0.04s,1101,1102,60.0,100.0,2025-12-01 09:32:02
HumanEval/112,baseline,2,0,Other,1 error in 0.16s,1202,1202,77.0,123.0,2025-12-01 09:32:10
HumanEval/113,baseline,2,0,Other,1 error in 0.16s,1202,1202,75.0,103.0,2025-12-01 09:32:18
